ds,yhat
2025-01-19,806.8707337115959
2025-01-20,1015.5132340565744
2025-01-21,942.856113646736
2025-01-22,649.2432398748027
2025-01-23,505.6257137326858
2025-01-24,548.4300516087173
2025-01-25,615.4132724849537
2025-01-26,849.0530843182269
2025-01-27,1063.3957073343522
2025-01-28,994.5511240635436
2025-01-29,702.9174055550121
2025-01-30,559.5384197137951
2025-01-31,600.9684642971947
2025-02-01,665.1230820355854
2025-02-02,894.6643741813817
2025-02-03,1103.843484938508
2025-02-04,1028.9901895730563
2025-02-05,730.7313835224896
2025-02-06,580.3429269329893
2025-02-07,614.6085326828974
2025-02-08,671.6650942154344
2025-02-09,894.3828982986723
2025-02-10,1097.2035107436766
2025-02-11,1016.6253678753839
2025-02-12,713.4189528084672
2025-02-13,558.976073220907
2025-02-14,590.1669700863227
2025-02-15,645.1846737539065
2025-02-16,866.9250512392479
2025-02-17,1069.825310774131
2025-02-18,990.3509547707271
2025-02-19,689.2130006556506
2025-02-20,537.7199106274368
2025-02-21,572.6378706692478
2025-02-22,632.0387352205311
2025-02-23,858.683973503461
2025-02-24,1066.867270885326
2025-02-25,992.9056620804267
2025-02-26,697.3609028032073
2025-02-27,551.3954119230341
2025-02-28,591.6363239848088
2025-03-01,656.0268758837433
2025-03-02,887.2133842859495
2025-03-03,1099.3904008938714
2025-03-04,1028.7938711919144
2025-03-05,735.9239679680563
2025-03-06,591.901913369563
2025-03-07,633.3343260453568
2025-03-08,698.1643317440451
2025-03-09,929.0577222147843
2025-03-10,1140.2467921794298
2025-03-11,1068.021734808739
2025-03-12,772.9513321096824
2025-03-13,626.2373272815266
2025-03-14,664.5760947698632
2025-03-15,726.0069290525871
2025-03-16,953.2953207280044
2025-03-17,1160.7739320760998
2025-03-18,1084.8312313666092
2025-03-19,786.1295954460788
2025-03-20,635.9573332600116
2025-03-21,671.0883023302881
2025-03-22,729.6284859422383
2025-03-23,954.3979327716721
2025-03-24,1159.7707951949071
2025-03-25,1082.1634352455512
2025-03-26,782.2524062220874
2025-03-27,631.3267493123753
2025-03-28,666.1482533247031
2025-03-29,724.7990106844156
2025-03-30,950.0646306683424
2025-03-31,1156.275795542039
2025-04-01,1079.7980749934147
2025-04-02,781.2517489950159
2025-04-03,631.866019167386
2025-04-04,668.341197622277
2025-04-05,728.6981493079224
2025-04-06,955.6632952482278
2025-04-07,1163.5118138077319
2025-04-08,1088.558913100698
2025-04-09,791.3808897797768
2025-04-10,643.1703273906049
2025-04-11,680.5990050419751
2025-04-12,741.6677829614559
2025-04-13,969.0917716658018
2025-04-14,1177.1434295072315
2025-04-15,1102.1434776078313
2025-04-16,804.6813698687909
2025-04-17,655.9697001922889
2025-04-18,692.70615146472
2025-04-19,752.9222903629818
2025-04-20,979.3675546604602
2025-04-21,1186.351118910415
2025-04-22,1110.2315679890387
2025-04-23,811.6361556303572
2025-04-24,661.8140664384888
2025-04-25,697.4973185987661
2025-04-26,756.7486393975319
2025-04-27,982.3446828351781
2025-04-28,1188.6172919665653
2025-04-29,1111.942745978548
2025-04-30,812.9607734423957
2025-05-01,662.9277483000867
2025-05-02,698.577698102483
2025-05-03,757.9704435304542
2025-05-04,983.8752207439012
2025-05-05,1190.6124675511335
2025-05-06,1114.5436888104423
2025-05-07,816.2911559734937
2025-05-08,667.091829007209
2025-05-09,703.659103865495
2025-05-10,764.0316764643287
2025-05-11,990.9578504756914
2025-05-12,1198.7379475674609
2025-05-13,1123.7147165982092
2025-05-14,826.4934815331571
2025-05-15,678.2964062565343
2025-05-16,715.8244718870208
